Title,Author,Description,Publishment_year,Num_of_pages,Bio-description 
"
Ekologia. Przewodnik Krytyki Politycznej
",['Opracowanie Zbiorowe'],"Ekologia. Przewodnik Krytyki Politycznej przedstawia problem zmian klimatycznych od strony teoretycznej i praktycznej. Naukowcy, działacze społeczni i ekolodzy opowiadają o nowych źródłach energii, nowoczesnych technologiach oraz gospodarczych i społecznych kosztach, jakie wiążą się z globalnym ociepleniem. Przystępnie wyjaśniają pojęcia i terminy, bez których trudno dziś rozmawiać o ekologicznych wyzwaniach. ",0,0,[['']]
"
Memy i graffy. Dżender, kasa i seks
",['Marta Frej'],"MEMY I GRAFFY to wybuchowe połączenie błyskotliwych felietonów Agnieszki Graff, kultowych memów Marty Frej i rozmów między autorkami. Celnie, ale i z poczuciem humoru, autorki dotykają spraw zasadniczych dla kobiet, jak i dla całego społeczeństwa: wojna z gender, ekspansja kościoła katolickiego w przestrzeni publicznej i politycznej, bierność w rzeczywistości i agresja w sieci, przemoc ekonomiczna, niepłacenie alimentów i problemy mężczyzn wynikające z tradycyjnej w Polsce pochwały maczyzmu.  Książkę dopełniają zapisy rozmów Graff i Frej – o życiu, twórczości, feminizmie, macierzyństwie, popkulturze, kluczowych lekturach i filmach.  Dla licznych wielbicielek i wielbicieli obydwu autorek – pozycja obowiązkowa. Dla pozostałych – wspaniała okazja do nawiązania znajomości.* Książka zawiera 48 kolorowych ilustracji z memami Marty Frej.",2015,248,"[['Marta Frej', 'malarka, ilustratorka, animatorka kulturalna, prezeska Fundacji Kulturoholizm, mama Maćka. Ukończyła ASP w Łodzi (dyplom 2004), asystentka w pracowni rysunku i malarstwa prof. M. Czajkowskiego na ASP w Łodzi (2005–2009). Laureatka nagrody Okulary Równości 2015, przyznawanej przez Fundację im. Izabeli Jarugi-Nowackiej. Obecnie pracuje w Centrum Promocji Młodych w Częstochowie. Autorka festiwalu ART.eria, członkini duetu artystycznego FRiKO.']]"
"
Bitwa o kulturę
",['Roman Pawłowski'],"Horyzontem, który wyznacza nasze poszukiwania jest rok 2045. Perspektywa stosunkowo bliska, jak na futurologię, a jednocześnie odległa, jeśli wziąć pod uwagę przyspieszenie technologiczne i tempo zmian cywilizacyjnych. Ustalając dystans czasowy na 30 lat chciałem, aby prognozy i przewidywania obejmowały aktywne życie zawodowe moich rozmówców i rozmówczyń, abyśmy snując fantazje, starali się wyobrazić w nich siebie. [...]Pomieszczone w tej książce prognozy nie są po to, aby wywołać lęk przed #przyszłością, ale by uruchomić refleksję na temat możliwych scenariuszy dla Polski, Europy, świata. William Gibson, twórca gatunku cyberpunk, który m.in. opisał Internet na długo przed jego powstaniem, twierdził, że #przyszłość jest teraz, tylko nierówno rozłożona. Kultura może nam pomóc ją dostrzec, ale to od nas będzie zależało, co z tą wiedzą zrobimy.(ze wstępu autora)",2015,480,"[['Roman Pawłowski (1965) –krytyk teatralny, literacki, telewizyjny i filmowy, publicysta. Zawodowo związany z „Gazetą Wyborczą” jako redaktor działu kultury, wykładał też m.in. w Szkole Laboratorium Dramatu w Warszawie. Autor dwóch antologii polskiego dramatu współczesnego Pokolenie porno i inne niesmaczne utwory teatralne (2003) i Made in Poland (2006) oraz leksykonu New Polish drama. Polish drama in the face of transformation (2008).']]"
"
Stosunek seksualny nie istnieje
",['Jaś Kapela'],"Gdyby Michel Houllebecq miał 24 lata i poczucie humoru, pisałby jak Jaś Kapela. Stosunek seksualny nie istnieje to opowieść o dwóch studentach kierunku humanistycznego. Eligiusz chce poderwać Dodę Elektrodę. I dlatego postanawia zostać pisarzem. Wojtkowi wydaje się, że człowiek nie może kierować swoimi pragnieniami. I dlatego przestaje robić cokolwiek.",2008,182,"[['Pisarz, poeta, felietonista, aktywista. Autor trzech książek z wierszami („Reklama”, „Życie na gorąco”, „Modlitwy dla opornych”), powieści („Stosunek seksualny nie istnieje”, „Janusz Hrystus”, „Dobry troll”) i zbioru felietonów „Jak odebrałem dzieci Terlikowskiemu”. W 2018 roku ukazała się jego najnowsza książka, „Polskie mięso. Jak zostałem weganinem i przestałem się bać”. Należy do zespołu redakcji Wydawnictwa Krytyki Politycznej. Opiekun Serii Literackiej.']]"
"
Wiek kapitału. 1848–1875
",['Eric Hobsbawm'],"W historii współczesnej Europy lata 1848–1875, okres opisywany przez Erica Hobsbawma w Wieku kapitału, drugiej części jego wszechogarniającej historycznej tetralogii, były niczym oko cyklonu – spokojne trzydziestolecie odgraniczone z jednej strony przez socjalistyczną rewolucję, której koniec przypadł na rok 1848, a z drugiej przez nadchodzącą rzeź. Ten czas był także złotą epoką dla burżuazji i rodzącego się kapitalizmu. Hobsbawm z wielką uwagą śledzi wszystko to, co było jej katalizatorem: odkrycia geograficzne i kolonizacja, abolicja, liberalizacja gospodarek, rozwój technologiczny, masowe kształcenie inżynierów, a także pojawienie się protestanckiej etyki pracy. Mistrzowski przegląd drugiej połowy XIX wieku bazujący na bogactwie materiałów i ich głębokim zrozumieniu.",2015,480,"[['Eric Hobsbawm (1917–2012)', 'brytyjski historyk austriackiego pochodzenia, członek Akademii Brytyjskiej, długoletni wykładowca Birkbeck College na Uniwersytecie Londyńskim. Wybitny badacz historii nowoczesnej, zwłaszcza XIX i XX wieku, teoretyk nacjonalizmu (autor pojęcia „wynalezionych tradycji”), historyk idei. Jego wielka, trzytomowa praca – Wiek rewolucji, Wiek kapitału i Wiek imperium – poświęcona historii „długiego wieku XIX” (1789–1914) uważana jest za jedną z najważniejszych pozycji w historiografii tego okresu.foto:Jerry Bauer']]"
"
Mięso
",['Dominika Dymińska'],"Możliwe drobne uszkodzenia okładki.  Ta dziewczynka nie mówi wszystkiego swojej mamie. Ani nikomu. Jak wiele dziewczynek, które wiedzą za wiele. „Niektóre słowa nie przechodzą przez gardło”. Czasem jednak przechodzą do netu. Pan z netu jest pedofilem. Penis chłopca z netu pachnie proszkiem do prania. Potem dziewczynka ma bulimię i słowa z gardła przedostają się w książkę. Jeszcze potem dziewczynka dojrzewa i ma wielu chłopaków, niektórzy są sławni. Niektórzy wręcz przeciwnie.",2012,184,"[['Dominika Dymińska (1991) - zawodowo: pisarka, tłumaczka kilku języków, w tym polskiego na polski, feministka i jeździec. Debiutowała w 2012 książką Mięso (Wydawnictwo Krytyki Politycznej). Prywatnie: dobry, szczęśliwy, uczciwy człowiek. Ontologicznie: księżniczka. Zainteresowania: ciało i język, siła i miłość,tańczenie i życie na krawędzi. I wygrywanie. I dobre uczciwe techno. W kwestii marzeń: w większości spełnione.']]"
"
Wrogowie publiczni
",['Michel Houellebecq'],"Wciągający pojedynek pisarzy mierzących się ze światem i ze sobą nawzajem. Jeden z najbardziej wpływowych francuskich intelektualistów i najgłośniejszy współczesny francuski pisarz mierzą się we wciągającym pojedynku z samymi sobą i ze światem. Książka jest zbiorem dowcipnej i niekiedy brutalnie szczerej korespondencji autorów. Bernard Henry Lévy: Wszystko tu jest. Pańska miernota. Moja nicość. Owa donośna pustka, która zastępuje nam myśli. Owo wspólne nam zamiłowanie do komedii, jeśli nie do oszustwa. Od trzydziestu lat zadaję sobie pytanie, jak ktoś taki jak ja mógł, i nadal może, zwodzić. Michel Houellebecq: Nie pragnę być kochanym wbrew temu, co we mnie najgorsze, lecz właśnie z racji tego, co we mnie najgorsze, posuwam się nawet do pragnienia, by to, co we mnie najgorsze, było tym, co ludzie we mnie wolą ",2012,344,"[['Michel Houellebecq (1958) - najbardziej znany współczesny pisarz francuski.Jego głośne powieści, zwłaszcza Cząstki elementarne, a także wydana tuż przed atakami z 11 września 2001 Platforma, wywołały burzliwą debatę na temat kryzysu zachodniej cywilizacji. W 2000 roku pisarz opuścił Francję, by zamieszkać najpierw wIrlandii, a następnie wAndaluzji. Za swoją powieść Mapa i terytorium otrzymał prestiżową Nagrodę Goncourtów.']]"
"
Jesteś Bogiem. Historia Paktofoniki
",['Maciej Pisuk'],,2012,380,"[['Maciej Pisuk', 'scenarzysta, pisarz, fotograf. Drukował m.in w ""Brulionie"" i antologii Macie swoich poetów. Autor sztuki telewizyjnej Gwiazdy i los człowieka oraz scenariusza o Jacku Kuroniu. Absolwent Studium Scenariuszowego w PWSFTviT w Łodzi. Mieszka w Warszawie.']]"
"
Polski teatr Zagłady
",['Grzegorz Niziołek'],"Polski teatr Zagłady to propozycja nowej perspektywy oglądu polskiego teatru. I zarazem pierwsza w Polsce monografia poświęcona problematyce teatru i Zagłady. Nie jest to jednak książka o historii teatru, ale o objawiających się w teatralnym medium głębokich procesach zachodzących w polskiej kulturze, o dziejach zbiorowej myśli i afektów. To jedna z tych publikacji, które dotykają kwestii zasadniczych dla naszej tożsamości i przez które dokonuje się praca w obrębie samoświadomości Polaków. Polski Teatr Zagłady Grzegorza Niziołka został jednym z 6 najważniejszych wydarzeń teatralnych roku 2013 portalu Dwutygodnik.com",2013,584,"[['Grzegorz Niziołek (1962) - Zajmuje się teatrem XX i XXI wieku, tradycją romantyczną w polskim teatrze, krytyką teatralną, najnowszymi zjawiskami w teatrze polskim i europejskim, związkami teatru i historii.Jego eseje teatralne zostały zebrane w tomieSny, komedie, medytacje (2000). Opublikował książki poświęcone twórczości Krystiana Lupy i Krzysztofa Warlikowskiego:Sobowtór i utopia.Teatr Krystiana Lupy(1997) iWarlikowski. Extra ecclesiam(2008). Jest autorem monografii Ciało i słowo. Szkice o teatrze Tadeusza Różewicza (2004). Wydał antologieDziady. Od Wyspiańskiego do Grzegorzewskiego(1999, wspólnie z Tadeuszem Kornasiem) i Zła pamięć: przeciw-historia w polskim teatrze i dramacie (2012, z Moniką Kwaśniewską). Nakładem Krytyki Politycznej i Instytutu Teatralnego im. Zbigniewa Raszewskiego ukazała się jego książka Polski teatr zagłady, która została jednym z 6 najważniejszych wydarzeń teatralnych roku 2013 portalu Dwutygodnik.com i za którą autor otrzymał nagrodę im. Jana Długosza.Profesor Uniwersytetu Jagiellońskiego i Państwowej Wyższej Szkoły Teatralnej im. Ludwika Solskiego w Krakowie. Kierownik literacki Starego Teatru w latach 2004–2007, pomysłodawca festiwalu ""re_wizje"" i dyrektor artystyczny dwóch jego pierwszych edycji, poświęconych współczesnym interpretacjom tekstów romantycznych i antycznych. Od 2008 do 2010 roku dyrektor artystyczny (wspólnie z Agatą Siwiak) Festiwalu Dialogu Czterech Kultur w Łodzi. Współzałożyciel i redaktor naczelny czasopisma teatralnego „Didaskalia”.']]"
"
Schulz. Przewodnik Krytyki Politycznej
",['Opracowanie Zbiorowe'],"Oddajemy do Państwa rąk książkę-eksperyment. Nie kolejną nudną monografię wielkiego autora. W książce Schulzowi przyglądamy się na cztery sposoby: eseistycznie, literacko, filmowo i komiksowo. W pierwszej części autorzy tacy jak Adam Lipszyc i autorki takie jak Julia Fiedorczuk przyglądają się prozie Schulza w takich kontekstach jak posthumanizm, filozofia przedmiotu, czy dialog, jaki jego proza podejmuje z filozofią żydowską. W części drugiej poprosiliśmy różnych autorów, by w swojej prozie podjęli wyzwanie Schulza, spróbowali z nim dialogu. Efektem jest m. in. unikalny utwór Andrzeja Szpindlera Różowy Murzyn, sytuujący się na granicy prozy, poezji i eseju wizualnego. W części trzeciej obok wywiadu z braćmi Quey, przedstawiamy treatment projektu filmu biograficznego o Schulzu autorstwa Maćka Pisuka, autora scenariusza filmowej historii Paktofoniki, Jesteś bogiem. I wreszcie w ostatniej części tacy komiksiarze jak Agnieszka Piksa i Jakub Woynarowski przedstawią komiksy na różny sposób inspirowane prozą i postacią Schulza.",2013,340,[['']]
"
Metastazy rozkoszy. Sześć esejów o kobietach i...
",['Slavoj Žižek']," Fascynująca jazda bez trzymanki od filozofii Habermasa i Hegla po kino Davida Lyncha i mizoginię Ottona Weiningera… i oczywiście z powrotem.  Wszystko, co chcieliście wiedzieć o kobietach (i o mężczyznach też), ale baliście się zapytać mamy i taty. Najsłynniejszy filozoficzny DJ włącza swój intelektualny mikser, by wprawić czytelnika w chwilowe osłupienie, ale zaraz potem pozwala mu w pełni zrozumieć swoje zawiłe koncepcje. Jeśli ci jeszcze mało, przeczytaj zawarty w książce obszerny wywiad Žižka z samym sobą, w którym żołnierskimi słowami wyjaśnia on sam sobie po kolei co trudniejsze „kawałki” z Hegla i Lacana („znaczące fallusa” też).  ",2013,328,"[['Slavoj Žižek (1949)', 'słoweński socjolog, filozof, marksista, psychoanalityk i krytyk kultury. Jest profesorem Instytutu Socjologii Uniwersytetu w Ljubljanie, wykłada także w European Graduate School i na uniwersytetach amerykańskich. Jego książka Revolution at the Gates (2002), której polskie wydanie pt. Rewolucja u bram ukazało się w Wydawnictwie Krytyki Politycznej w 2006 roku (drugie wydanie, 2007), wywołało najgłośniejszą w ostatnich latach debatę publiczną na temat zagranicznej książki wydanej w Polsce. Jest również autorem W obronie przegranych spraw (2009), Kruchego absolutu (2009) i Od tragedii do farsy (2011).']]"
"
Doskonale zwyczajna rzeczywistość. Socjologia,...
",['Michał Libera'],"Tworzenie muzyki to nie tylko godziny spędzone w studiu, ślęczenie nad zapisem nutowym czy komputerem. Robiąc muzykę musisz decydować o materiale, który się na nią składa, o tym, w jaki sposób będzie dystrybuowana i prezentowana. Za pomocą jakich narzędzi, przez kogo i na jakich zasadach? Świat społeczny jest integralnym elementem tego, co nazywamy „dziełem muzycznym”. Doskonale zwyczajna rzeczywistość to zbiór esejów analizujących muzykę z perspektywy socjologicznej, antropologicznej i kulturoznawczej.Autor poszukuje pojęć niezbędnych do zrozumienia muzyki nie w analizach teoretycznych, lecz bezpośrednio w muzyce głównych bohaterów książki, m.in. Corneliusa Cardew, Alvina Luciera, Johna Lomaxa, Luca Ferrariego, Keitha Rowe’a, Luigiego Russolo, Toshiya Tsunoda, Ludwiga van Beethovena. To oni sami okazują się tutaj teoretykami muzyki.",2013,184,"[['Michał Libera (1979)', 'socjolog, producent, kurator i krytyk muzyczny, współzałożyciel Fundacji 4.99, regularny współpracownik Narodowej Galerii Sztuki Zachęta, CSW „Zamek Ujazdowski”, Muzeum Narodowego (Królikarnia) i Polskiego Radia (Program II), kurator wyróżnionego na Międzynarodowej Wystawie Architektury w Wenecji projektu Making the walls quake as if they were dilating with the secret knowledge of great powers. Autor książki Doskonale zwyczajna rzeczywistość. Socjologia, geografia albo metafizyka muzyki.']]"
"
Deus otiosus
",['Agata Bielik-Robson'],"Teologia jest rzeczą zbyt poważną, by pozostawić ją tylko teologom. Agata Bielik-Robson wraz grupą młodych badaczy i badaczek pokazują, że relacje religii i nowoczesności są o wiele bardziej skomplikowane i wymagają bardziej złożonych pojęć, niż może się wydawać. Autorzy, czytając takich myślicieli jak Hans Blumenberg, Walter Benjamin, Odo Marquard czy Baruch Spinoza, przyglądają się nowoczesności w postsekularnej perspektywie. Pokazują, że możemy wyjść poza zużyte opozycje religii i świeckości, spojrzeć na dialektyczny związek tego, co religijne ze świecką nowoczesnością. Dostrzec Boga ukrytego w maszynie nowoczesności! Książka ukazuje teologiczne i religijne zaplecze kluczowych dla nowoczesności pojęć i sporów. Zachęca, by spojrzeć na to, co znane, z zupełnie innej perspektywy.",2013,360,"[['Agata Bielik-Robson (1966) - filozofka, profesor katedry Studiów Żydowskich na Uniwersytecie w Nottingham, Instytutu Filozofii i Socjologii PAN oraz pracowniczka naukowa Instytutu Studiów Zaawansowanych w Warszawie. Autorka wielu książek, m.in. Na drugim brzegu nihilizmu: filozofia współczesna w poszukiwaniu podmiotu (1997), Inna nowoczesność. Pytania o współczesną formułę duchowości (2000), Duch powierzchni: rewizja romantyczna i filozofia (2004), Na pustyni. Kryptoteologie późnej nowoczesności (2008), The Saving Lie: Harold Bloom and Deconstruction (2011).']]"
"
Skąd ten bunt? Nowe światowe rewolucje
",['Paul Mason'],"Nigdy wcześniej tak wielu nie protestowało tak często. Od Londynu przez Kair, Waszyngton, Ateny aż po Teheran i Moskwę, dochodzą do nas informacje o kolejnych manifestacjach, zamieszkach czy wręcz rewolucjach. Co takiego się stało, że coraz więcej ludzi decyduje się wyjść na ulice? I czy łączy ich jakiś wspólny interes, który może sprawić, że zmieni się oblicze świata, który znamy? Paul Mason twierdzi, że tak. Wytrawnym okiem reportera BBC opisuje miejsca i przyczyny buntów, starć i okupacji. Nie szczędząc kontekstu ekonomicznego, historycznego i socjologicznego, błyskotliwie pokazuje źródła toczącej się rewolucji.   ",2013,400,"[['Paul Mason (1960)', 'dziennikarz telewizji BBC i Channel 4 specjalizujący się w tematyce gospodarczej. Za swoje reportaże był nominowany do nagrody Emmy i dwukrotnie do Nagrody Orwella. Prowadzi bloga. W Polsce ukazała się jego książka Finansowy kataklizm. Koniec wieku chciwości (2010).']]"
"
Brzemię odpowiedzialności: Blum, Camus, Aron, i...
",['Tony Judt']," Léon Blum był przywódcą Francuskiej Partii Socjalistycznej w okresie międzywojennym. Dwukrotnie, w latach 1936 i 1938, był też premierem rządu sformowanego przez Front Ludowy i najbardziej znaczącym politycznym przeciwnikiem rządu w Vichy — za co uwięziono go, wytoczono mu proces i deportowano. Raymond Aron w latach 20. ubiegłego wieku przyćmiewał intelektem innych absolwentów Ecole Normale Supérieure (wśród nich Jeana-Paula Sartre’a) i był najbardziej obiecującym młodym francuskim filozofem swego pokolenia. Albert Camus, mimo swego skromnego „kolonialnego” pochodzenia i prowincjonalnej edukacji, w powojennej Francji wybił się z niebytu na pozycję gwiazdy politycznej, powszechnie rozpoznawany jako partner, kolega, i rywal intelektualny Sartre’a i Simone de Beauvoir. Oto trzej bohaterowie Brzemienia odpowiedzialności Tony’ego Judta. Opowiadając ich skomplikowane historie, znakomity amerykański historyk pokazuje, jak intelektualiści powinni uczestniczyć w życiu publicznym: bez oglądania się na polityczną modę i bez zaślepienia ideologią. ",2014,240,"[['Tony Judt (1948–2010)', 'wybitny znawca historii Francji i Europy Środkowej, eseista. Regularnie publikował m.in. na łamach „The New Republic” oraz „New York Review of Books”. Autor licznych książek, w tym syntezy najnowszej historii Europy pt. Powojnie (2005), a także wyborów tekstów Zapomniany wiek dwudziesty (2008) i Pensjonat pamięci (2010) oraz manifestu Źle ma się kraj (2010).Nakładem Wydawnictwa Krytyki Politycznej ukazała się jego kontrowersyjna książka Historia niedokończona. Francuscy intelektualiści 1944—1956 (2012) orazBrzemię odpowiedzialności: Blum, Camus, Aron i Francja w XX wieku. (2014)']]"
"
18 brumaire’a Ludwika Bonaparte
",['Karol Marks'],"18 brumaire'a Ludwika Bonaparte to klasyka eseju politycznego. W tym pisanym z polemicznym zacięciem, przesyconym szyderczym poczuciem humoru, pełnym literackich i historycznych odniesień tekście Karol Marks analizuje mechanizmy polityczne i społeczne, które umożliwiły Ludwikowi Bonaparte wykorzystanie rewolucji lutowej 1848 roku i ogłoszenie się cesarzem. Esej Marksa jest jednak nie tylko błyskotliwą analizą sytuacji we Francji w latach 1848–1851 – to także opis pewnych stale powtarzających się w demokracji mechanizmów. Dlatego nowe wydanie 18 brumaire’a poprzedzamy wstępem Marka Beylina, publicysty „Gazety Wyborczej”. Beylin krytycznie czyta tekst Marksa i zestawia go z piśmiennictwem epoki, szukając w nim odpowiedzi na pytanie o fenomen nowoczesnego populizmu i kondycję współczesnej demokracji.",2011,280,"[['Karol Marks (1818-1883) - niemiecki filozof, socjolog, ekonomista, historyk, dziennikarz i działacz rewolucyjny. Jeden z najbardziej wpływowych myślicieli ostatnich stuleci. Autor wielu książek, wydał m.in Kapitał (1867), Manifest komunistyczny (1848), Ideologia niemiecka (1846).']]"
"
Agonistyka
",['Chantal Mouffe'],"Zgoda buduje, niezgoda rujnuje? Chantal Mouffe, filozofka, intelektualistka i aktywistka, twierdzi że jest zupełnie na odwrót. To pozorny konsensus podminowuje demokratyczne instytucje i przesłania możliwość jakiejkolwiek zmiany. A skoro we współczesnych społeczeństwach nie da się uniknąć antagonizmu, wielości racji i wartości, być może warto tworzyć instytucje, które pomieściłyby wszystkie te sprzeczności? Inaczej konflikt zamieni się w wojnę, a oponent we wroga. Można tego uniknąć.   Agonistyka to zbiór interwencji i poszukiwanie szans dla radykalnej i pluralistycznej demokracji w różnych sferach życia społecznego: polityce, stosunkach międzynarodowych, projekcie europejskim i wreszcie praktykach artystycznych. Perspektywa Mouffe jest optymistyczna, tak jakby wraz z możliwością antagonizmu na arenę wkraczało też życie.",2015,144,"[['Chantal Mouffe (1943)', 'belgijska filozofka, wykłada w Centrum Badań nad Demokracją Uniwersytetu Westminster . Jedna z najważniejszych przedstawicielek postmarksizmu. Autorka Hegemonii i socjalistycznej strategii (2007), Paradoksu demokracji (2005). W Wydawnictwie Krytyki Politycznej ukazały się jej książki Polityczność (2008) oraz Carl Schmitt. Wyzwanie polityczności (2011).']]"
"
Amerykańscy marzyciele. Jak lewica zmieniła...
",['Michael\xa0Kazin'],"Książka Michaela Kazina to historia lewicy w Ameryce, prawie zupełnie nieznana w Polsce. Autor w przystępny sposób opowiada, jak „amerykańscy marzyciele” zmienili swój kraj. John Brown i abolicjoniści, Emma Goldman i sufrażystki, Eugene Debs i populiści, Martin Luther King i ruch praw obywatelskich, Allen Ginsberg i Nowa Lewica, Naomi Klein i alterglobaliści - ideały wolności i równości niesiono w Ameryce na różnych sztandarach. W imię Ojców Założycieli i Karola Marksa, amerykańskiego snu i oświeconego rozumu, z Bogiem i bez Boga - budowano instytucje i kręcono filmy, organizowano happeningi i pisano książki. Bez politycznej władzy radykałowie w Stanach Zjednoczonych nie mieli nigdy szansy zostać tyranami. Mogli za to walczyć o poszerzenie przestrzeni „polityki tego, co możliwe”, nie tępiąc przy tym swego utopijnego ostrza.  fragment książki",2012,400,"[['Michael Kazin (1948)\u2009–\u2009jeden z najwybitniejszych historyków Ameryki. Profesor Uniwersytetu Georgetown, badacz amerykańskich ruchów społecznych, współwydawca „Dissent”, legendarnego pisma niekomunistycznej lewicy. Publikuje m.in. na łamach „New York Timesa” i „The Nation”. Jest autorem takich książek jak A Godly Hero: The Life of William Jennings Bryan, Barons of Labor czy The Populist Persuation.']]"
"
Antypapież
",['Tomasz Piątek'],"Droga Czytelniczko, Drogi Czytelniku, zapewne nieco znużona/znużony jesteś nieustannym odmienianiem przez wszystkie przypadki imienia Jana Pawła Drugiego i tytułu Ojca Świętego. Mimo to proponuję, żebyś wspólnie ze mną przyjrzała/przyjrzał się tej białej postaci. Może się okazać, że o tym demiurgu, który tak głęboko zaingerował nawet w nasze osobiste sprawy, nie wszystko jeszcze wiesz. Jeśli chcesz walczyć z bałwochwalczym kultem Wojtyły, znajdziesz tutaj argumenty. Jeśli masz sentyment do papieża, to będziesz mogła/mógł sprawdzić siłę tego uczucia.Tomasz Piątek Jan Paweł II – Wielki Polak? Wielki Nauczyciel? Wielki Autorytet? Autorytet – ale dla kogo? A może tylko papież-przedstawienie, papież-wizualny? Tomasz Piątek z brawurą pisarza i felietonisty, a jednocześnie z zaangażowaniem wierzącego protestanta atakuje nauczanie polskiego papieża, i przede wszystkim medialny spektakl wokół jego osoby. Czy w Polsce można już krytykować Jana Pawła II?",2011,104,"[['Tomasz Piątek - pisarz, felietonista. Ukończył lingwistykę na Universita’ degli Studi di Milano. W latach 1995\u2009–\u20091999 pracował jako dziennikarz w „Polityce”, RMF FM, „La Stampa”, Inforadiu, Radiostacji oraz jako ekspert\u2009–\u2009psycholingwista. Publikował felietony w miesięczniku „Film” i w „Życiu Warszawy”. Autor m.in. opartej na własnych doświadczeniach powieści Heroina. Ostatnio wydał Morderstwo w La Scali. Nakładem Wydawnictwa Krytyki Politycznej ukazała się jego książka Antypapież (2011) i Podręcznik dla klasy pierwszej (2011).']]"
"
Kuroń. Autobiografia
",['Jacek Kuroń'],"Wiara i wina  – opowieść o pierwszych czterdziestu latach życia Kuronia jest „osobistym wykładem dziejów PRL”. Prywatna historia polskiego socjalizmu przedwojennego jest wstępem do rozprawy o pierwszych latach „nowego porządku”, entuzjazmie, a potem rozczarowaniu stalinizmem, nadziejach polskiego października 1956, wreszcie o desperackim poszukiwaniu przestrzeni wolności w Polsce „małej stabilizacji”, które część intelektualistów prowadzi na drogę otwartej opozycji wobec systemu, a samego Kuronia – do więzienia.Gwiezdny czas to kontynuacją opowieści o konsekwentnym trwaniu autora przy lewicowych wartościach, w innych okolicznościach i innej formacji politycznej. Demokratyczna opozycja antysystemowa, która pod szyldem KOR, a potem Solidarności budowała zalążki polskiego społeczeństwa obywatelskiego, ukazana jest tu jako realna odpowiedź inteligentów i robotników na patologie społecznego i politycznego życia późnego PRL. Dwie ostatnie części Autobiografii – Spoko! Czyli kwadratura koła i Moja zupa  – to relacja z okresu schyłku PRL i dramatów początku III RP – wewnętrzny kryzys podziemnej Solidarności, dylematy więźniów politycznych i gwałtowne spory o strategię działania wobec systemu, wreszcie – paradoksy działania dysydentów u władzy i jednocześnie ludzi lewicy jako kreatorów polskiego kapitalizmu.   OD REDAKCJIZa pomoc w przygotowaniu i wydaniu książki, poparcie naszej inicjatywy oraz liczne bezcenne uwagi serdecznie dziękujemy Danucie Kuroń, Maciejowi i Joannie Kuroń oraz profesorom Andrzejowi Friszke i Karolowi Modzelewskiemu. Wyrazy szczególnej wdzięczności składamy redaktorkom wszystkich kolejnych wydań autobiograficznych dzieł Jacka Kuronia: Annie Dodziuk, Marcie Kucharskiej, Helenie Łuczywo, Romanowi Kurkiewiczowi, Hannie Prokopczuk oraz Joannie Szczęsnej.",2011,980,"[['Jacek Kuroń (1934-2004)', 'wychowawca, lewicowy działacz społeczny, polityk, z wykształcenia historyk, kawaler Orderu Orła Białego. W latach 50. założyciel tzw. Hufca Walterowskiego i członek PZPR. W roku 1965 napisał wraz z Karolem Modzelewskim list otwarty do partii za który został uwięziony. Jeden z nieformalnych liderów ruchu studenckiego w roku 1968, później działacz opozycji demokratycznej, współtwórca Komitetu Obrony Robotników i KSS „KOR”, a także doradca NSZZ „Solidarność”. Był długoletnim więźniem politycznym PRL, uczestnikiem obrad Okrągłego Stołu, a po roku 1989 dwukrotnym ministrem pracy i polityki socjalnej w rządach Tadeusza Mazowieckiego i Hanny Suchockiej, członkiem Unii Demokratycznej, a później Unii Wolności. W roku 2000 współtworzył Uniwersytet Powszechny im. Jana Józefa Lipskiego w Teremiskach. Autor licznych esejów i artykułów politycznych i filozoficznych, a także książek, m.in. Wiara i wina, Gwiezdny czas, Działanie czy Rzeczpospolita dla moich wnuków.']]"
"
Brzozowski. Przewodnik Krytyki Politycznej
",['Opracowanie Zbiorowe'],"Stanisław Brzozowski  wyprzedził swoją epokę i wpłynął na kilka pokoleń polskiej inteligencji, nie tylko z lewej, ale i z prawej strony barykady. Czerpiąc z marksizmu i myśli Nietzschego, tradycji romantycznej i katolickiego modernizmu, filozofii europejskiej i literatury rosyjskiej, autor Płomieni walczył piórem przez całe życie. Brzozowski. Przewodnik Krytyki Politycznej pokazuje najważniejsze wątki jego myśli : etos inteligenta-radykała, zadania sztuki i literatury, kwestie nowoczesnej formuły narodu, rozumnej modernizacji, niepodległości, rewolucji i podmiotowości społeczeństwa wobec kapitalizmu. Autorzy książki rysują też ścieżki jego myśli w XX i XXI wieku.Przewodnik uzmysławia nam, że sto lat po śmierci twórcy Legendy młodej Polski jego własna legenda stanowi wciąż inspirację dla każdego krytycznego umysłu. Wśród autorów m.in. Agata Bielik-Robson, Andrzej Mencwel, Sławomir Sierakowski, Eliza Szybowicz, Andrzej Walicki.",2011,292,[['']]
